Frame_Pair,Delta_tx,Delta_ty,Delta_tz,Delta_yaw(degrees),Delta_pitch(degrees),Delta_roll(degrees)
Frame0_to_Frame1,-0.01,-0.1,0.13,-0.021264924,-0.350235348,-0.021045391
Frame1_to_Frame2,0.02,-0.11,0.33,0.137441319,-0.221211146,-0.115301094
Frame2_to_Frame3,0.41,-0.28,0.1,0.083245079,-0.084562212,-0.037822313
Frame3_to_Frame4,0.83,0.02,0.4,0.019048601,0.022745987,-0.029616548
Frame4_to_Frame5,1.03,0.36,0.57,-0.194411403,0.146997316,-0.062734619
Frame5_to_Frame6,1.24,-0.03,0.55,-0.028116656,0.218237385,-0.031934167
Frame6_to_Frame7,1.2,0.02,0.35,0.021722929,0.294119752,-0.084228604
Frame7_to_Frame8,1.9,-0.26,0.87,-0.067245795,0.368547451,-0.118800508
Frame8_to_Frame9,1.35,0.09,0.84,-0.054007829,0.126713109,-0.096611425
Frame9_to_Frame10,0.95,0.09,0.53,-0.023149254,0.074451175,-0.035697305
Frame10_to_Frame11,1.14,0,0.58,-0.011877471,0.092765242,-0.085044327
Frame11_to_Frame12,1.35,-0.02,0.16,-0.110816442,0.370225277,-0.071947174
Frame12_to_Frame13,0.79,-0.03,0.44,0.094443048,0.26056283,-0.005961548
Frame13_to_Frame14,1.19,-0.08,0.08,-0.001140761,0.349190744,-0.03189164
Frame14_to_Frame15,0.76,-0.2,0.27,0.095828723,0.107549725,-0.089402471
Frame15_to_Frame16,0.8,-0.27,0.48,0.086463681,-0.009526278,-0.067582119
Frame16_to_Frame17,0.84,0,0.46,-0.063634275,-0.018980179,0.00066006
Frame17_to_Frame18,1.21,0.1,0.86,-0.03199066,0.087397529,-0.018376841
Frame18_to_Frame19,0.79,0.29,0.52,-0.029902704,0.190516111,0.023824689
Frame19_to_Frame20,1.74,-0.13,0.32,-0.236539761,0.289875075,-0.084018799
Frame20_to_Frame21,1.86,0.2,0.61,-0.155523259,0.285723906,0.03881197
Frame21_to_Frame22,1.3,0.06,0.51,-0.087237829,0.195990925,-0.019222521
Frame22_to_Frame23,1.28,0.04,1,-0.101050498,0.181145712,-0.065286559
Frame23_to_Frame24,0.98,0.26,0.31,-0.064222602,0.196340553,0.015024247
Frame24_to_Frame25,1.4,0.02,0.35,-0.079991605,0.285608915,-0.014422225
