Element_0,Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,Element_8,Element_9,Element_10,Element_11,Element_12,Element_13,Element_14,Element_15
0.73371,0.097588,-0.67242,286.7,0.23854,-0.96364,0.12043,340.7,-0.63621,-0.24876,-0.73031,254.9,0.0,0.0,0.0,1.0
0.73784,0.097071,-0.66795,286.69,0.23744,-0.96368,0.12224,340.6,-0.63183,-0.24879,-0.73409,255.03,0.0,0.0,0.0,1.0
0.74018,0.0975,-0.6653,286.71,0.23928,-0.96286,0.1251,340.49,-0.62839,-0.25179,-0.73602,255.36,0.0,0.0,0.0,1.0
0.74102,0.098141,-0.66427,287.12,0.24049,-0.96243,0.12609,340.21,-0.62694,-0.25319,-0.73678,255.46,0.0,0.0,0.0,1.0
0.74072,0.098043,-0.66462,287.95,0.24086,-0.96228,0.12649,340.23,-0.62714,-0.25378,-0.7364,255.86,0.0,0.0,0.0,1.0
0.73935,0.094797,-0.66662,288.98,0.23792,-0.96295,0.12694,340.59,-0.62989,-0.25245,-0.73451,256.43,0.0,0.0,0.0,1.0
0.73685,0.09406,-0.66948,290.22,0.23793,-0.963,0.12657,340.56,-0.63281,-0.25255,-0.73196,256.98,0.0,0.0,0.0,1.0
0.73336,0.09335,-0.67339,291.42,0.23894,-0.96272,0.12676,340.58,-0.63646,-0.25386,-0.72833,257.33,0.0,0.0,0.0,1.0
0.72913,0.091085,-0.67829,293.32,0.23862,-0.96274,0.12722,340.32,-0.64143,-0.25462,-0.7237,258.2,0.0,0.0,0.0,1.0
0.72771,0.089254,-0.68005,294.67,0.23799,-0.96275,0.12832,340.41,-0.64327,-0.25523,-0.72185,259.04,0.0,0.0,0.0,1.0
0.72686,0.088533,-0.68105,295.62,0.23777,-0.96277,0.12861,340.5,-0.64431,-0.25542,-0.72085,259.57,0.0,0.0,0.0,1.0
0.72578,0.087369,-0.68236,296.76,0.23778,-0.96263,0.12966,340.5,-0.64553,-0.25635,-0.71943,260.15,0.0,0.0,0.0,1.0
0.72152,0.085102,-0.68714,298.11,0.23675,-0.96292,0.12934,340.48,-0.65066,-0.256,-0.71492,260.31,0.0,0.0,0.0,1.0
0.71824,0.086221,-0.69042,298.9,0.23892,-0.96252,0.12835,340.45,-0.65348,-0.25715,-0.71192,260.75,0.0,0.0,0.0,1.0
0.71403,0.08582,-0.69484,300.09,0.23968,-0.96245,0.12743,340.37,-0.65781,-0.25753,-0.70779,260.83,0.0,0.0,0.0,1.0
0.71258,0.085926,-0.69631,300.85,0.24153,-0.96185,0.12848,340.17,-0.65871,-0.25973,-0.70615,261.1,0.0,0.0,0.0,1.0
0.71256,0.086179,-0.69629,301.65,0.24296,-0.96133,0.12965,339.9,-0.6582,-0.26156,-0.70595,261.58,0.0,0.0,0.0,1.0
0.71289,0.085395,-0.69606,302.49,0.24185,-0.9616,0.12972,339.9,-0.65825,-0.26082,-0.70617,262.04,0.0,0.0,0.0,1.0
0.71188,0.084775,-0.69717,303.7,0.24151,-0.9617,0.12966,340.0,-0.65948,-0.26068,-0.70508,262.9,0.0,0.0,0.0,1.0
0.70959,0.084691,-0.6995,304.49,0.24144,-0.96188,0.12846,340.29,-0.66195,-0.26004,-0.70299,263.42,0.0,0.0,0.0,1.0
0.70639,0.080734,-0.7032,306.23,0.23811,-0.96268,0.12867,340.16,-0.66657,-0.25833,-0.69925,263.74,0.0,0.0,0.0,1.0
0.70309,0.07929,-0.70666,308.09,0.23614,-0.96341,0.12684,340.36,-0.67075,-0.25605,-0.69609,264.35,0.0,0.0,0.0,1.0
0.70079,0.077986,-0.70909,309.39,0.2351,-0.96372,0.12636,340.42,-0.67351,-0.25526,-0.6937,264.86,0.0,0.0,0.0,1.0
0.69868,0.075938,-0.71139,310.67,0.2338,-0.96399,0.12672,340.46,-0.67615,-0.25486,-0.69128,265.86,0.0,0.0,0.0,1.0
0.69632,0.075344,-0.71376,311.65,0.23315,-0.96429,0.12567,340.72,-0.6788,-0.25392,-0.68902,266.17,0.0,0.0,0.0,1.0
0.69286,0.074188,-0.71724,313.05,0.23243,-0.96458,0.12476,340.74,-0.68258,-0.25314,-0.68556,266.52,0.0,0.0,0.0,1.0
0.68995,0.072319,-0.72023,314.27,0.2309,-0.96501,0.12429,340.7,-0.68604,-0.25206,-0.6825,266.64,0.0,0.0,0.0,1.0
0.68927,0.071732,-0.72094,314.81,0.23028,-0.96518,0.12413,340.7,-0.68693,-0.25158,-0.68179,266.82,0.0,0.0,0.0,1.0
0.68898,0.072351,-0.72116,315.57,0.2316,-0.96482,0.12447,340.69,-0.68678,-0.25278,-0.68149,267.49,0.0,0.0,0.0,1.0
0.68779,0.07221,-0.72231,316.34,0.23162,-0.96486,0.12409,340.63,-0.68797,-0.25265,-0.68034,267.73,0.0,0.0,0.0,1.0
0.68437,0.070916,-0.72567,317.51,0.23031,-0.96533,0.12287,340.9,-0.6918,-0.25122,-0.67698,268.0,0.0,0.0,0.0,1.0
0.68112,0.070174,-0.7288,318.37,0.22926,-0.96578,0.12127,341.17,-0.69535,-0.24968,-0.6739,268.21,0.0,0.0,0.0,1.0
0.67686,0.068065,-0.73296,320.05,0.22765,-0.96626,0.1205,341.2,-0.70002,-0.24842,-0.66952,268.87,0.0,0.0,0.0,1.0
0.67372,0.067222,-0.73593,320.99,0.22755,-0.96634,0.12005,341.34,-0.70308,-0.24834,-0.66633,269.3,0.0,0.0,0.0,1.0
0.67194,0.06584,-0.73767,322.16,0.22638,-0.96663,0.11994,341.28,-0.70515,-0.24758,-0.66442,269.56,0.0,0.0,0.0,1.0
0.67185,0.064374,-0.73788,322.98,0.22384,-0.96728,0.11942,341.66,-0.70606,-0.24539,-0.66428,269.93,0.0,0.0,0.0,1.0
0.6716,0.063733,-0.73817,323.89,0.22311,-0.96744,0.11946,341.73,-0.70652,-0.24493,-0.66395,270.49,0.0,0.0,0.0,1.0
